bibkey,location,country,long,lat,scale
gustafson2017identifying,,SLE,-10.64457832,7.964252995,ADM3
gustafson2017identifying,,SLE,-10.89617122,7.88155491,ADM3
gustafson2017identifying,,SLE,-10.41310311,8.391195104,ADM3
gustafson2017identifying,,SLE,-10.34541468,8.390054418,ADM3
gustafson2017identifying,,SLE,-10.36410942,8.223329675,ADM3
gustafson2017identifying,,SLE,-10.56396833,8.222094579,ADM3
gustafson2017identifying,,SLE,-10.76425452,7.771027786,ADM3
gustafson2017identifying,,SLE,-10.74549109,7.981413445,ADM3
gustafson2017identifying,,SLE,-10.92149008,7.999814142,ADM3
gustafson2017identifying,,SLE,-10.78217786,8.145651675,ADM3
gustafson2017identifying,,SLE,-10.82917714,8.186870213,ADM3
gustafson2017identifying,,SLE,-10.72223902,8.342494364,ADM3
gustafson2017identifying,,SLE,-10.68099229,8.087893425,ADM3
gustafson2017identifying,,SLE,-10.85880036,8.317852125,ADM3
gustafson2017identifying,,SLE,-11.13850369,7.752140362,ADM3
gustafson2017identifying,,SLE,-11.18372464,8.198801327,ADM3
gustafson2017identifying,,SLE,-11.01139984,7.686570534,ADM3
gustafson2017identifying,,SLE,-11.42239722,8.440197776,ADM3
gustafson2017identifying,,SLE,-11.2718555,8.012385121,ADM3
gustafson2017identifying,,SLE,-11.29117426,7.592153515,ADM3
gustafson2017identifying,,SLE,-11.45111141,7.62278319,ADM3
gustafson2017identifying,,SLE,-11.03760665,8.197277427,ADM3
gustafson2017identifying,,SLE,-10.9288201,8.161943651,ADM3
gustafson2017identifying,,SLE,-11.36002897,7.722338151,ADM3
gustafson2017identifying,,SLE,-10.93687734,7.551438215,ADM3
gustafson2017identifying,,SLE,-11.14580803,7.924735326,ADM3
gustafson2017identifying,,SLE,-11.3038982,8.166216126,ADM3
gustafson2017identifying,,SLE,-11.34762058,7.864184615,ADM3
gustafson2017identifying,,SLE,-11.16074365,7.476356457,ADM3
gustafson2017identifying,,SLE,-11.35362485,8.297919002,ADM3
gustafson2017identifying,,SLE,-10.83217164,8.623189601,ADM3
gustafson2017identifying,,SLE,-10.57687154,8.63613951,ADM3
gustafson2017identifying,,SLE,-10.83494427,8.459576729,ADM3
gustafson2017identifying,,SLE,-10.92656638,8.710595946,ADM3
gustafson2017identifying,,SLE,-11.1166944,8.391537187,ADM3
gustafson2017identifying,,SLE,-11.02820598,8.711368884,ADM3
gustafson2017identifying,,SLE,-10.69572169,8.819287922,ADM3
gustafson2017identifying,,SLE,-10.5160637,8.680426323,ADM3
gustafson2017identifying,,SLE,-11.0942661,8.561839365,ADM3
gustafson2017identifying,,SLE,-11.25462492,8.570157025,ADM3
gustafson2017identifying,,SLE,-11.08942155,8.85128914,ADM3
gustafson2017identifying,,SLE,-10.68729808,8.597302485,ADM3
gustafson2017identifying,,SLE,-10.96255545,8.550575658,ADM3
gustafson2017identifying,,SLE,-10.64684099,8.980239186,ADM3
gustafson2017identifying,,SLE,-11.91691991,9.24465293,ADM3
gustafson2017identifying,,SLE,-12.07325045,8.773280677,ADM3
gustafson2017identifying,,SLE,-12.3017829,9.276779498,ADM3
gustafson2017identifying,,SLE,-12.16054639,9.055091806,ADM3
gustafson2017identifying,,SLE,-12.39896486,8.998348018,ADM3
gustafson2017identifying,,SLE,-12.0656922,9.267925566,ADM3
gustafson2017identifying,,SLE,-12.18535177,8.850473392,ADM3
gustafson2017identifying,,SLE,-11.94295425,8.808905995,ADM3
gustafson2017identifying,,SLE,-11.90653878,8.998935633,ADM3
gustafson2017identifying,,SLE,-12.1327239,9.41117196,ADM3
gustafson2017identifying,,SLE,-12.31326643,9.15709315,ADM3
gustafson2017identifying,,SLE,-12.25014126,9.491167325,ADM3
gustafson2017identifying,,SLE,-12.24328003,9.727436247,ADM3
gustafson2017identifying,,SLE,-12.65455311,9.418794816,ADM3
gustafson2017identifying,,SLE,-12.93930728,9.16978742,ADM3
gustafson2017identifying,,SLE,-12.87975141,9.066713646,ADM3
gustafson2017identifying,,SLE,-13.01120039,8.889607003,ADM3
gustafson2017identifying,,SLE,-12.74711677,9.121437602,ADM3
gustafson2017identifying,,SLE,-13.13441697,8.996468459,ADM3
gustafson2017identifying,,SLE,-12.56482852,9.310599086,ADM3
gustafson2017identifying,,SLE,-11.5307515,9.865254823,ADM3
gustafson2017identifying,,SLE,-11.58364271,9.286084961,ADM3
gustafson2017identifying,,SLE,-11.55474831,9.755357487,ADM3
gustafson2017identifying,,SLE,-11.84806729,9.516035912,ADM3
gustafson2017identifying,,SLE,-10.95267421,9.461685158,ADM3
gustafson2017identifying,,SLE,-11.29994816,9.141617143,ADM3
gustafson2017identifying,,SLE,-10.8817139,9.111446576,ADM3
gustafson2017identifying,,SLE,-11.28582552,9.536369612,ADM3
gustafson2017identifying,,SLE,-11.25403203,9.828226105,ADM3
gustafson2017identifying,,SLE,-11.75694139,9.773947578,ADM3
gustafson2017identifying,,SLE,-11.57740652,9.553616364,ADM3
gustafson2017identifying,,SLE,-12.75146603,8.944572076,ADM3
gustafson2017identifying,,SLE,-12.42735135,8.831001663,ADM3
gustafson2017identifying,,SLE,-12.53574813,8.94450756,ADM3
gustafson2017identifying,,SLE,-13.16715749,8.627187295,ADM3
gustafson2017identifying,,SLE,-12.83812041,8.461763531,ADM3
gustafson2017identifying,,SLE,-13.0341488,8.722528377,ADM3
gustafson2017identifying,,SLE,-12.75609266,8.715567257,ADM3
gustafson2017identifying,,SLE,-12.39859691,8.646252372,ADM3
gustafson2017identifying,,SLE,-12.55621145,8.581787031,ADM3
gustafson2017identifying,,SLE,-12.56787796,9.129130906,ADM3
gustafson2017identifying,,SLE,-12.58463041,8.827839145,ADM3
gustafson2017identifying,,SLE,-11.8989397,8.467013787,ADM3
gustafson2017identifying,,SLE,-11.74243368,8.854321617,ADM3
gustafson2017identifying,,SLE,-11.73188766,9.0732853,ADM3
gustafson2017identifying,,SLE,-12.13012352,8.568317815,ADM3
gustafson2017identifying,,SLE,-11.95330448,8.684488289,ADM3
gustafson2017identifying,,SLE,-11.62529532,8.587366049,ADM3
gustafson2017identifying,,SLE,-11.49471411,8.688095925,ADM3
gustafson2017identifying,,SLE,-12.26429882,8.65950108,ADM3
gustafson2017identifying,,SLE,-11.55901342,8.998023176,ADM3
gustafson2017identifying,,SLE,-11.78540077,8.643865196,ADM3
gustafson2017identifying,,SLE,-12.3049449,8.404701323,ADM3
gustafson2017identifying,,SLE,-11.4076486,8.099171702,ADM3
gustafson2017identifying,,SLE,-11.51207934,8.081420907,ADM3
gustafson2017identifying,,SLE,-11.86120789,7.587427026,ADM3
gustafson2017identifying,,SLE,-11.47988499,7.939305896,ADM3
gustafson2017identifying,,SLE,-11.99409695,7.841401242,ADM3
gustafson2017identifying,,SLE,-11.8362761,8.086217869,ADM3
gustafson2017identifying,,SLE,-11.6234136,7.769047512,ADM3
gustafson2017identifying,,SLE,-11.67838586,7.98734462,ADM3
gustafson2017identifying,,SLE,-11.48204893,8.234639638,ADM3
gustafson2017identifying,,SLE,-11.87626372,7.680817183,ADM3
gustafson2017identifying,,SLE,-11.60418279,8.150960009,ADM3
gustafson2017identifying,,SLE,-11.72400682,8.112883749,ADM3
gustafson2017identifying,,SLE,-11.77823664,7.828262251,ADM3
gustafson2017identifying,,SLE,-11.68473215,8.319660041,ADM3
gustafson2017identifying,,SLE,-11.56957532,7.667820813,ADM3
gustafson2017identifying,,SLE,-12.38556842,7.442991959,ADM3
gustafson2017identifying,,SLE,-11.95090101,7.406460215,ADM3
gustafson2017identifying,,SLE,-12.66890016,7.537706612,ADM3
gustafson2017identifying,,SLE,-12.38326667,7.672003445,ADM3
gustafson2017identifying,,SLE,-12.22894259,7.557657384,ADM3
gustafson2017identifying,,SLE,-12.01953456,7.581287901,ADM3
gustafson2017identifying,,SLE,-11.937035120000001,7.245416876,ADM3
gustafson2017identifying,,SLE,-12.19283709,7.340585186,ADM3
gustafson2017identifying,,SLE,-12.08279338,7.527472597,ADM3
gustafson2017identifying,,SLE,-12.12472475,7.430553186,ADM3
gustafson2017identifying,,SLE,-12.46990528,7.904820296,ADM3
gustafson2017identifying,,SLE,-12.26385236,7.852579317,ADM3
gustafson2017identifying,,SLE,-12.17481863,7.718537842,ADM3
gustafson2017identifying,,SLE,-12.70600281,8.121984516,ADM3
gustafson2017identifying,,SLE,-12.12835658,8.018267602,ADM3
gustafson2017identifying,,SLE,-12.28853628,8.240890395,ADM3
gustafson2017identifying,,SLE,-12.72179818,7.930283322,ADM3
gustafson2017identifying,,SLE,-12.37112727,8.112572223,ADM3
gustafson2017identifying,,SLE,-11.90522164,8.222475166,ADM3
gustafson2017identifying,,SLE,-12.52685072,8.175780872,ADM3
gustafson2017identifying,,SLE,-12.08964274,8.204094897,ADM3
gustafson2017identifying,,SLE,-11.92368293,8.046655664,ADM3
gustafson2017identifying,,SLE,-12.80041073,8.259271674,ADM3
gustafson2017identifying,,SLE,-12.66426145,7.791144545,ADM3
gustafson2017identifying,,SLE,-11.42307927,7.425693939,ADM3
gustafson2017identifying,,SLE,-11.55914988,7.276862086,ADM3
gustafson2017identifying,,SLE,-11.62939476,7.159699139,ADM3
gustafson2017identifying,,SLE,-11.30180597,7.281207496,ADM3
gustafson2017identifying,,SLE,-11.80163366,7.477299654,ADM3
gustafson2017identifying,,SLE,-11.74875933,7.129282973,ADM3
gustafson2017identifying,,SLE,-11.71470114,7.384654178,ADM3
gustafson2017identifying,,SLE,-11.86028878,7.285514042,ADM3
gustafson2017identifying,,SLE,-11.54254941,7.545600351,ADM3
gustafson2017identifying,,SLE,-11.44867314,7.079972168,ADM3
gustafson2017identifying,,SLE,-11.63635743,7.539631127,ADM3
gustafson2017identifying,,SLE,-11.75970295,7.215066949,ADM3
gustafson2017identifying,,SLE,-13.16794718,8.420200152,ADM3
gustafson2017identifying,,SLE,-13.06534309,8.320804063,ADM3
gustafson2017identifying,,SLE,-13.16707012,8.303524722,ADM3
gustafson2017identifying,,SLE,-12.96193191,8.313260346,ADM3
gustafson2017identifying,,SLE,-13.24438274,8.453214853,ADM3
